threshold,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,false_positive_rate,false_negative_rate,false_positives,false_negatives,true_positives,true_negatives,predicted_fraud_count
0.05,0.15,0.05660377358490566,0.75,0.10526315789473684,0.21739130434782608,0.7410714285714286,0.4869318181818182,0.8928571428571429,0.25,50.0,1.0,3.0,6.0,53.0
0.1,0.26666666666666666,0.06521739130434782,0.75,0.12,0.24193548387096775,0.7410714285714286,0.4869318181818182,0.7678571428571429,0.25,43.0,1.0,3.0,13.0,46.0
0.15,0.3,0.06818181818181818,0.75,0.125,0.25,0.7410714285714286,0.4869318181818182,0.7321428571428571,0.25,41.0,1.0,3.0,15.0,44.0
0.2,0.3,0.06818181818181818,0.75,0.125,0.25,0.7410714285714286,0.4869318181818182,0.7321428571428571,0.25,41.0,1.0,3.0,15.0,44.0
0.25,0.4,0.07894736842105263,0.75,0.14285714285714285,0.2777777777777778,0.7410714285714286,0.4869318181818182,0.625,0.25,35.0,1.0,3.0,21.0,38.0
0.3,0.48333333333333334,0.09090909090909091,0.75,0.16216216216216217,0.30612244897959184,0.7410714285714286,0.4869318181818182,0.5357142857142857,0.25,30.0,1.0,3.0,26.0,33.0
0.35,0.5666666666666667,0.10714285714285714,0.75,0.1875,0.3409090909090909,0.7410714285714286,0.4869318181818182,0.44642857142857145,0.25,25.0,1.0,3.0,31.0,28.0
0.4,0.6,0.11538461538461539,0.75,0.2,0.35714285714285715,0.7410714285714286,0.4869318181818182,0.4107142857142857,0.25,23.0,1.0,3.0,33.0,26.0
0.45,0.6333333333333333,0.125,0.75,0.21428571428571427,0.375,0.7410714285714286,0.4869318181818182,0.375,0.25,21.0,1.0,3.0,35.0,24.0
0.5,0.6666666666666666,0.13636363636363635,0.75,0.23076923076923078,0.39473684210526316,0.7410714285714286,0.4869318181818182,0.3392857142857143,0.25,19.0,1.0,3.0,37.0,22.0
0.55,0.7166666666666667,0.15789473684210525,0.75,0.2608695652173913,0.42857142857142855,0.7410714285714286,0.4869318181818182,0.2857142857142857,0.25,16.0,1.0,3.0,40.0,19.0
0.6,0.7666666666666667,0.1875,0.75,0.3,0.46875,0.7410714285714286,0.4869318181818182,0.23214285714285715,0.25,13.0,1.0,3.0,43.0,16.0
0.65,0.7833333333333333,0.2,0.75,0.3157894736842105,0.4838709677419355,0.7410714285714286,0.4869318181818182,0.21428571428571427,0.25,12.0,1.0,3.0,44.0,15.0
0.7,0.85,0.2727272727272727,0.75,0.4,0.5555555555555556,0.7410714285714286,0.4869318181818182,0.14285714285714285,0.25,8.0,1.0,3.0,48.0,11.0
0.75,0.85,0.2727272727272727,0.75,0.4,0.5555555555555556,0.7410714285714286,0.4869318181818182,0.14285714285714285,0.25,8.0,1.0,3.0,48.0,11.0
0.8,0.9,0.375,0.75,0.5,0.625,0.7410714285714286,0.4869318181818182,0.08928571428571429,0.25,5.0,1.0,3.0,51.0,8.0
0.85,0.8833333333333333,0.2857142857142857,0.5,0.36363636363636365,0.43478260869565216,0.7410714285714286,0.4869318181818182,0.08928571428571429,0.5,5.0,2.0,2.0,51.0,7.0
0.9,0.9166666666666666,0.4,0.5,0.4444444444444444,0.47619047619047616,0.7410714285714286,0.4869318181818182,0.05357142857142857,0.5,3.0,2.0,2.0,53.0,5.0
0.95,0.9333333333333333,0.5,0.5,0.5,0.5,0.7410714285714286,0.4869318181818182,0.03571428571428571,0.5,2.0,2.0,2.0,54.0,4.0
