threshold,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,false_positive_rate,false_negative_rate,false_positives,false_negatives,true_positives,true_negatives,predicted_fraud_count
0.05,0.13333333333333333,0.07142857142857142,1.0,0.13333333333333333,0.2777777777777778,0.9017857142857143,0.5213815789473684,0.9285714285714286,0.0,52.0,0.0,4.0,4.0,56.0
0.1,0.21666666666666667,0.0784313725490196,1.0,0.14545454545454545,0.29850746268656714,0.9017857142857143,0.5213815789473684,0.8392857142857143,0.0,47.0,0.0,4.0,9.0,51.0
0.15,0.3333333333333333,0.09090909090909091,1.0,0.16666666666666666,0.3333333333333333,0.9017857142857143,0.5213815789473684,0.7142857142857143,0.0,40.0,0.0,4.0,16.0,44.0
0.2,0.43333333333333335,0.10526315789473684,1.0,0.19047619047619047,0.37037037037037035,0.9017857142857143,0.5213815789473684,0.6071428571428571,0.0,34.0,0.0,4.0,22.0,38.0
0.25,0.6,0.14285714285714285,1.0,0.25,0.45454545454545453,0.9017857142857143,0.5213815789473684,0.42857142857142855,0.0,24.0,0.0,4.0,32.0,28.0
0.3,0.6,0.14285714285714285,1.0,0.25,0.45454545454545453,0.9017857142857143,0.5213815789473684,0.42857142857142855,0.0,24.0,0.0,4.0,32.0,28.0
0.35,0.7,0.18181818181818182,1.0,0.3076923076923077,0.5263157894736842,0.9017857142857143,0.5213815789473684,0.32142857142857145,0.0,18.0,0.0,4.0,38.0,22.0
0.4,0.75,0.17647058823529413,0.75,0.2857142857142857,0.45454545454545453,0.9017857142857143,0.5213815789473684,0.25,0.25,14.0,1.0,3.0,42.0,17.0
0.45,0.7833333333333333,0.2,0.75,0.3157894736842105,0.4838709677419355,0.9017857142857143,0.5213815789473684,0.21428571428571427,0.25,12.0,1.0,3.0,44.0,15.0
0.5,0.8166666666666667,0.23076923076923078,0.75,0.35294117647058826,0.5172413793103449,0.9017857142857143,0.5213815789473684,0.17857142857142858,0.25,10.0,1.0,3.0,46.0,13.0
0.55,0.8833333333333333,0.3333333333333333,0.75,0.46153846153846156,0.6,0.9017857142857143,0.5213815789473684,0.10714285714285714,0.25,6.0,1.0,3.0,50.0,9.0
0.6,0.8833333333333333,0.2857142857142857,0.5,0.36363636363636365,0.43478260869565216,0.9017857142857143,0.5213815789473684,0.08928571428571429,0.5,5.0,2.0,2.0,51.0,7.0
0.65,0.8833333333333333,0.2857142857142857,0.5,0.36363636363636365,0.43478260869565216,0.9017857142857143,0.5213815789473684,0.08928571428571429,0.5,5.0,2.0,2.0,51.0,7.0
0.7,0.9333333333333333,0.5,0.5,0.5,0.5,0.9017857142857143,0.5213815789473684,0.03571428571428571,0.5,2.0,2.0,2.0,54.0,4.0
0.75,0.95,1.0,0.25,0.4,0.29411764705882354,0.9017857142857143,0.5213815789473684,0.0,0.75,0.0,3.0,1.0,56.0,1.0
0.8,0.95,1.0,0.25,0.4,0.29411764705882354,0.9017857142857143,0.5213815789473684,0.0,0.75,0.0,3.0,1.0,56.0,1.0
0.85,0.95,1.0,0.25,0.4,0.29411764705882354,0.9017857142857143,0.5213815789473684,0.0,0.75,0.0,3.0,1.0,56.0,1.0
0.9,0.9333333333333333,0.0,0.0,0.0,0.0,0.9017857142857143,0.5213815789473684,0.0,1.0,0.0,4.0,0.0,56.0,0.0
0.95,0.9333333333333333,0.0,0.0,0.0,0.0,0.9017857142857143,0.5213815789473684,0.0,1.0,0.0,4.0,0.0,56.0,0.0
